case,input_path,requested_pipeline,selected_pipeline,selector_reason,status,fallback_reason,output_path,candidate_path,baseline_path,candidate_nodes,candidate_levels,baseline_nodes,baseline_levels,selected_nodes,selected_levels,original_nodes,original_levels,opt_returncode,cec_returncode,cec_pass,opt_runtime_sec,cec_runtime_sec,stats_runtime_sec,peak_mem_mb,log_dir,chosen_variant,attempted_variants,inner_fallback_count,original_cec_fail_count
case_pyg3694elp,data\tc_public_rand_r7b_stress\case_pyg3694elp\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_random\public30\case_pyg3694elp\output.blif,results_candidate\r8_order_choosebest_singlecase_random\public30\case_pyg3694elp\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_random\public30\case_pyg3694elp\work\variants\clean\baseline.blif,376,7,376,7,376,7,576,20,0,0,True,0.961275,1.124901,1.017974,15.102,results_candidate\r8_order_choosebest_singlecase_random\public30\case_pyg3694elp\work\logs,clean,"clean,inputs,outputs,both",0,0
case_q85mtt9qhs,data\tc_public_rand_r7b_stress\case_q85mtt9qhs\input.blif,r7b_r7win_fraig_high,r7b_r7win_fraig_high@outputs,r7b_high_overlap_guarded_fraig,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_random\public30\case_q85mtt9qhs\output.blif,results_candidate\r8_order_choosebest_singlecase_random\public30\case_q85mtt9qhs\work\variants\outputs\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_random\public30\case_q85mtt9qhs\work\variants\outputs\baseline.blif,2156,16,4478,26,2156,16,6388,29,0,0,True,3.738947,2.370269,1.025786,52.875,results_candidate\r8_order_choosebest_singlecase_random\public30\case_q85mtt9qhs\work\logs,outputs,"clean,inputs,outputs,both",0,0
case_qo1zilrin4,data\tc_public_rand_r7b_stress\case_qo1zilrin4\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_random\public30\case_qo1zilrin4\output.blif,results_candidate\r8_order_choosebest_singlecase_random\public30\case_qo1zilrin4\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_random\public30\case_qo1zilrin4\work\variants\clean\baseline.blif,215,8,215,8,215,8,223,15,0,0,True,0.905738,0.998177,0.937434,12.617,results_candidate\r8_order_choosebest_singlecase_random\public30\case_qo1zilrin4\work\logs,clean,"clean,inputs,outputs,both",0,0
case_scefuc0ca6,data\tc_public_rand_r7b_stress\case_scefuc0ca6\input.blif,sop_fx,sop_fx@clean,tiny_high_fanin_sop,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_random\public30\case_scefuc0ca6\output.blif,results_candidate\r8_order_choosebest_singlecase_random\public30\case_scefuc0ca6\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_random\public30\case_scefuc0ca6\work\variants\clean\baseline.blif,162,4,162,4,162,4,256,5,0,0,True,0.712457,1.513228,0.953589,9.574,results_candidate\r8_order_choosebest_singlecase_random\public30\case_scefuc0ca6\work\logs,clean,"clean,inputs,outputs,both",0,0
case_tofysbdmu2,data\tc_public_rand_r7b_stress\case_tofysbdmu2\input.blif,high_aig_three_round,high_aig_three_round@both,large_runtime_aig_high_effort,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_random\public30\case_tofysbdmu2\output.blif,results_candidate\r8_order_choosebest_singlecase_random\public30\case_tofysbdmu2\work\variants\both\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_random\public30\case_tofysbdmu2\work\variants\both\baseline.blif,5532,20,5688,20,5532,20,5763,20,0,0,True,62.799388,17.13474,1.081281,28.176,results_candidate\r8_order_choosebest_singlecase_random\public30\case_tofysbdmu2\work\logs,both,"clean,inputs,outputs,both",0,0
case_tylrj06i68,data\tc_public_rand_r7b_stress\case_tylrj06i68\input.blif,sop_fx,sop_fx@outputs,tiny_high_fanin_sop,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_random\public30\case_tylrj06i68\output.blif,results_candidate\r8_order_choosebest_singlecase_random\public30\case_tylrj06i68\work\variants\outputs\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_random\public30\case_tylrj06i68\work\variants\outputs\baseline.blif,108,8,157,11,108,8,208,13,0,0,True,0.726457,1.505396,0.954607,9.348,results_candidate\r8_order_choosebest_singlecase_random\public30\case_tylrj06i68\work\logs,outputs,"clean,inputs,outputs,both",0,0
case_u9m9kzukyx,data\tc_public_rand_r7b_stress\case_u9m9kzukyx\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_random\public30\case_u9m9kzukyx\output.blif,results_candidate\r8_order_choosebest_singlecase_random\public30\case_u9m9kzukyx\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_random\public30\case_u9m9kzukyx\work\variants\clean\baseline.blif,65,2,66,2,65,2,128,2,0,0,True,0.802506,0.904307,1.007959,9.477,results_candidate\r8_order_choosebest_singlecase_random\public30\case_u9m9kzukyx\work\logs,clean,"clean,inputs,outputs,both",0,0
case_udxahl2zm5,data\tc_public_rand_r7b_stress\case_udxahl2zm5\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_random\public30\case_udxahl2zm5\output.blif,results_candidate\r8_order_choosebest_singlecase_random\public30\case_udxahl2zm5\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_random\public30\case_udxahl2zm5\work\variants\clean\baseline.blif,109,7,110,7,109,7,121,8,0,0,True,0.858234,0.949128,0.988621,9.977,results_candidate\r8_order_choosebest_singlecase_random\public30\case_udxahl2zm5\work\logs,clean,"clean,inputs,outputs,both",0,0
case_unko4bybxf,data\tc_public_rand_r7b_stress\case_unko4bybxf\input.blif,dc2_fast,dc2_fast@inputs,default,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_random\public30\case_unko4bybxf\output.blif,results_candidate\r8_order_choosebest_singlecase_random\public30\case_unko4bybxf\work\variants\inputs\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_random\public30\case_unko4bybxf\work\variants\inputs\baseline.blif,495,12,522,12,495,12,525,12,0,0,True,4.429852,2.842843,0.989834,19.785,results_candidate\r8_order_choosebest_singlecase_random\public30\case_unko4bybxf\work\logs,inputs,"clean,inputs,outputs,both",0,0
case_y7gkf9k8m4,data\tc_public_rand_r7b_stress\case_y7gkf9k8m4\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_random\public30\case_y7gkf9k8m4\output.blif,results_candidate\r8_order_choosebest_singlecase_random\public30\case_y7gkf9k8m4\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_random\public30\case_y7gkf9k8m4\work\variants\clean\baseline.blif,1530,16,1530,16,1530,16,1530,263,0,0,True,1.257746,1.106565,0.961058,16.328,results_candidate\r8_order_choosebest_singlecase_random\public30\case_y7gkf9k8m4\work\logs,clean,"clean,inputs,outputs,both",0,0
