case,input_path,requested_pipeline,selected_pipeline,selector_reason,status,fallback_reason,output_path,candidate_path,baseline_path,candidate_nodes,candidate_levels,baseline_nodes,baseline_levels,selected_nodes,selected_levels,original_nodes,original_levels,opt_returncode,cec_returncode,cec_pass,opt_runtime_sec,cec_runtime_sec,stats_runtime_sec,peak_mem_mb,log_dir,chosen_variant,attempted_variants,inner_fallback_count,original_cec_fail_count
tc_public_19,data\tc_public_portname_r7b_stress\tc_public_19\input.blif,high_aig_three_round,high_aig_three_round@both,large_runtime_aig_high_effort,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_19\output.blif,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_19\work\variants\both\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_19\work\variants\both\baseline.blif,5268,18,5409,18,5268,18,5478,18,0,0,True,60.219233,16.372966,1.152962,27.883,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_19\work\logs,both,"clean,inputs,outputs,both",0,0
tc_public_2,data\tc_public_portname_r7b_stress\tc_public_2\input.blif,sop_fx,sop_fx@clean,tiny_high_fanin_sop,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_2\output.blif,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_2\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_2\work\variants\clean\baseline.blif,19,4,19,4,19,4,34,6,0,0,True,0.735534,1.493034,0.975678,9.281,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_2\work\logs,clean,"clean,inputs,outputs,both",0,0
tc_public_20,data\tc_public_portname_r7b_stress\tc_public_20\input.blif,high_aig_three_round,high_aig_three_round@inputs,large_runtime_aig_high_effort,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_20\output.blif,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_20\work\variants\inputs\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_20\work\variants\inputs\baseline.blif,5523,20,5667,20,5523,20,5742,20,0,0,True,62.190146,17.107306,1.171207,28.258,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_20\work\logs,inputs,"clean,inputs,outputs,both",0,0
tc_public_21,data\tc_public_portname_r7b_stress\tc_public_21\input.blif,high_aig_three_round,high_aig_three_round@both,large_runtime_aig_high_effort,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_21\output.blif,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_21\work\variants\both\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_21\work\variants\both\baseline.blif,5532,20,5688,20,5532,20,5763,20,0,0,True,63.280766,17.114308,1.14969,28.438,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_21\work\logs,both,"clean,inputs,outputs,both",0,0
tc_public_22,data\tc_public_portname_r7b_stress\tc_public_22\input.blif,high_aig_three_round,high_aig_three_round@both,large_runtime_aig_high_effort,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_22\output.blif,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_22\work\variants\both\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_22\work\variants\both\baseline.blif,11001,20,11274,20,11001,20,11367,20,0,0,True,121.402292,33.420568,1.391193,35.129,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_22\work\logs,both,"clean,inputs,outputs,both",0,0
tc_public_23,data\tc_public_portname_r7b_stress\tc_public_23\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_23\output.blif,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_23\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_23\work\variants\clean\baseline.blif,1530,16,1530,16,1530,16,1530,263,0,0,True,1.279568,1.201503,1.07572,16.418,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_23\work\logs,clean,"clean,inputs,outputs,both",0,0
tc_public_24,data\tc_public_portname_r7b_stress\tc_public_24\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_24\output.blif,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_24\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_24\work\variants\clean\baseline.blif,215,8,215,8,215,8,223,15,0,0,True,0.849174,1.001662,0.981432,11.523,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_24\work\logs,clean,"clean,inputs,outputs,both",0,0
tc_public_25,data\tc_public_portname_r7b_stress\tc_public_25\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_25\output.blif,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_25\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_25\work\variants\clean\baseline.blif,26,4,26,4,26,4,101,14,0,0,True,0.845284,0.913448,0.946768,9.215,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_25\work\logs,clean,"clean,inputs,outputs,both",0,0
tc_public_26,data\tc_public_portname_r7b_stress\tc_public_26\input.blif,dc2_fast,dc2_fast@outputs,default,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_26\output.blif,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_26\work\variants\outputs\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_26\work\variants\outputs\baseline.blif,1046,10,1064,10,1046,10,1064,32,0,0,True,1.098006,1.744526,0.98375,17.945,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_26\work\logs,outputs,"clean,inputs,outputs,both",0,0
tc_public_27,data\tc_public_portname_r7b_stress\tc_public_27\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_27\output.blif,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_27\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_27\work\variants\clean\baseline.blif,376,7,376,7,376,7,576,20,0,0,True,0.93982,1.084689,1.037766,15.051,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_27\work\logs,clean,"clean,inputs,outputs,both",0,0
tc_public_28,data\tc_public_portname_r7b_stress\tc_public_28\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_28\output.blif,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_28\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_28\work\variants\clean\baseline.blif,520,7,520,7,520,7,576,20,0,0,True,0.968027,1.292555,1.037209,17.195,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_28\work\logs,clean,"clean,inputs,outputs,both",0,0
tc_public_29,data\tc_public_portname_r7b_stress\tc_public_29\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_29\output.blif,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_29\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_29\work\variants\clean\baseline.blif,109,7,110,7,109,7,121,8,0,0,True,0.788608,0.912106,0.932088,10.152,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_29\work\logs,clean,"clean,inputs,outputs,both",0,0
tc_public_3,data\tc_public_portname_r7b_stress\tc_public_3\input.blif,sop_fx,sop_fx@outputs,tiny_high_fanin_sop,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_3\output.blif,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_3\work\variants\outputs\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_3\work\variants\outputs\baseline.blif,108,8,157,11,108,8,208,13,0,0,True,0.722984,1.581353,0.975068,9.371,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_3\work\logs,outputs,"clean,inputs,outputs,both",0,0
tc_public_30,data\tc_public_portname_r7b_stress\tc_public_30\input.blif,high_aig_three_round,high_aig_three_round@both,large_runtime_aig_high_effort,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_30\output.blif,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_30\work\variants\both\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_30\work\variants\both\baseline.blif,4806,21,7476,22,4806,21,14139,1036,0,0,True,6.592842,36.589919,1.108421,34.371,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_30\work\logs,both,"clean,inputs,outputs,both",0,0
tc_public_4,data\tc_public_portname_r7b_stress\tc_public_4\input.blif,sop_fx,sop_fx@clean,tiny_high_fanin_sop,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_4\output.blif,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_4\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_4\work\variants\clean\baseline.blif,69,8,115,9,69,8,145,12,0,0,True,0.712623,1.495958,0.962003,9.492,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_4\work\logs,clean,"clean,inputs,outputs,both",0,0
tc_public_5,data\tc_public_portname_r7b_stress\tc_public_5\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_5\output.blif,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_5\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_5\work\variants\clean\baseline.blif,65,2,66,2,65,2,128,2,0,0,True,0.805921,0.989692,0.954903,9.48,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_5\work\logs,clean,"clean,inputs,outputs,both",0,0
tc_public_6,data\tc_public_portname_r7b_stress\tc_public_6\input.blif,sop_fx,sop_fx@clean,tiny_high_fanin_sop,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_6\output.blif,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_6\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_6\work\variants\clean\baseline.blif,162,4,162,4,162,4,256,5,0,0,True,0.772396,1.482692,0.959254,9.57,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_6\work\logs,clean,"clean,inputs,outputs,both",0,0
tc_public_7,data\tc_public_portname_r7b_stress\tc_public_7\input.blif,sop_fx,sop_fx@clean,tiny_high_fanin_sop,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_7\output.blif,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_7\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_7\work\variants\clean\baseline.blif,252,3,252,3,252,3,252,3,0,0,True,0.757698,1.394807,0.953315,9.656,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_7\work\logs,clean,"clean,inputs,outputs,both",0,0
tc_public_8,data\tc_public_portname_r7b_stress\tc_public_8\input.blif,sop_fx,sop_fx@clean,tiny_high_fanin_sop,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_8\output.blif,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_8\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_8\work\variants\clean\baseline.blif,193,3,193,3,193,3,193,3,0,0,True,0.744694,1.509926,0.973468,9.648,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_8\work\logs,clean,"clean,inputs,outputs,both",0,0
tc_public_9,data\tc_public_portname_r7b_stress\tc_public_9\input.blif,sop_fx,sop_fx@clean,tiny_high_fanin_sop,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_9\output.blif,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_9\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_9\work\variants\clean\baseline.blif,224,5,224,5,224,5,224,5,0,0,True,0.775416,1.518736,1.01208,9.801,results_candidate\r8_order_choosebest_singlecase_portname\public30\tc_public_9\work\logs,clean,"clean,inputs,outputs,both",0,0
