case,input_count,output_count,renamed_port_count,original_input_sample,renamed_input_sample,original_output_sample,renamed_output_sample,output_blif
tc_public_19,512,11,523,n0 n36 n37 n39 n41,r7pi_11_0000_hkdt2b87uf r7pi_11_0001_rtfxc9rq0y r7pi_11_0002_be03vflxi6 r7pi_11_0003_g8n2s7p318 r7pi_11_0004_0ipiyq0b6e,n2586 n3606 n4626 n5646 n6666,r7po_11_0000_bznrhisye4 r7po_11_0001_z43fr5srhv r7po_11_0002_x1pgkzb2a2 r7po_11_0003_iqmuse79hi r7po_11_0004_7fbwd7zura,stress_data\r8_port_name_stress\cases\tc_public_19\input.blif
tc_public_2,6,5,11,I0 I1 I2 I3 I4,r7pi_12_0000_o4e96686b8 r7pi_12_0001_lbi1wjj8m9 r7pi_12_0002_1xz5kck6b7 r7pi_12_0003_7bt50jeadv r7pi_12_0004_7jg59timx4,O0 O1 O2 O3 O4,r7po_12_0000_qnd3sa6skf r7po_12_0001_3g9adisc1p r7po_12_0002_w9obly6acw r7po_12_0003_eqvp6la96u r7po_12_0004_sxj0sc1s5e,stress_data\r8_port_name_stress\cases\tc_public_2\input.blif
tc_public_20,532,11,543,n0 n36 n37 n39 n41,r7pi_13_0000_a4vb5pq01w r7pi_13_0001_i81nhj9whr r7pi_13_0002_r8gqacr3ez r7pi_13_0003_o214bfsvb4 r7pi_13_0004_5kznonsaev,n2686 n3746 n4806 n5866 n6926,r7po_13_0000_rjzdsg7hll r7po_13_0001_4pkgimwc1c r7po_13_0002_ixxbbyetr7 r7po_13_0003_7oa1ngoqjk r7po_13_0004_zinzxykj2j,stress_data\r8_port_name_stress\cases\tc_public_20\input.blif
tc_public_21,534,11,545,n0 n36 n37 n39 n41,r7pi_14_0000_2o3iguyml9 r7pi_14_0001_7fequm1qw7 r7pi_14_0002_lwsane6gk8 r7pi_14_0003_98ypunoczv r7pi_14_0004_ij8jpqfazk,n2696 n3760 n4824 n5888 n6952,r7po_14_0000_khuzbulqz1 r7po_14_0001_1fn4e8q6bb r7po_14_0002_0mbumcjxnd r7po_14_0003_qypbyyemrj r7po_14_0004_2teausp4yh,stress_data\r8_port_name_stress\cases\tc_public_21\input.blif
tc_public_22,1024,12,1036,n0 n39 n40 n42 n44,r7pi_15_0000_ehd63qzzfx r7pi_15_0001_3x0patsp9u r7pi_15_0002_a0e6hu2wfm r7pi_15_0003_utoxo0h0eq r7pi_15_0004_7v4msfvghe,n5149 n7193 n9237 n11281 n13325,r7po_15_0000_4s1vq2t93h r7po_15_0001_zsbxi4dcx6 r7po_15_0002_ep894gp3zo r7po_15_0003_4azopo1ul6 r7po_15_0004_wg4kegq8ie,stress_data\r8_port_name_stress\cases\tc_public_22\input.blif
tc_public_23,520,2,522,n4 n12 n26 n52 n102,r7pi_16_0000_n9atidu6nb r7pi_16_0001_hxzsou64k4 r7pi_16_0002_hvtg26xzjk r7pi_16_0003_wb528xmhuq r7pi_16_0004_bbbbvg1ef8,n1290 n2057,r7po_16_0000_n1ilvmhelg r7po_16_0001_npxh2h46ai,stress_data\r8_port_name_stress\cases\tc_public_23\input.blif
tc_public_24,104,9,113,n7 n9 n13 n24 n25,r7pi_17_0000_pkfodedoal r7pi_17_0001_31oruzkdmo r7pi_17_0002_zi3tn4jmuj r7pi_17_0003_nkbvw9nb3z r7pi_17_0004_cw55stx6b7,n75 n107 n139 n171 n203,r7po_17_0000_x48awd2qw1 r7po_17_0001_ryffa17hg1 r7po_17_0002_alc5wnvvgh r7po_17_0003_6b2jw9a5dq r7po_17_0004_ttpkjw0zvg,stress_data\r8_port_name_stress\cases\tc_public_24\input.blif
tc_public_25,15,9,24,n5 n11 n19 n22 n24,r7pi_18_0000_iix6gc9hqn r7pi_18_0001_e7po5x6l1s r7pi_18_0002_8z1sckrn1u r7pi_18_0003_zkyodj73d0 r7pi_18_0004_r3v6h0nvk7,n33 n37 n43 n51 n61,r7po_18_0000_wx47jvfeqe r7po_18_0001_s01r27kskf r7po_18_0002_c96gkxhwdu r7po_18_0003_izl5tgzg6s r7po_18_0004_u9wgk10w9s,stress_data\r8_port_name_stress\cases\tc_public_25\input.blif
tc_public_26,33,32,65,n5 n11 n21 n37 n38,r7pi_19_0000_7e2ymxyo83 r7pi_19_0001_uid93v54gr r7pi_19_0002_yi3f9414qg r7pi_19_0003_8iomnppwo9 r7pi_19_0004_jsz2x9dxa6,n71 n75 n81 n89 n99,r7po_19_0000_nvutjbtljk r7po_19_0001_p1gaqhagr0 r7po_19_0002_9kar2yr7n0 r7po_19_0003_n3u58orpef r7po_19_0004_4uprbfvx11,stress_data\r8_port_name_stress\cases\tc_public_26\input.blif
tc_public_27,189,16,205,n11 n17 n25 n33 n44,r7pi_20_0000_1dslvvwmar r7pi_20_0001_fdeh6gr8j8 r7pi_20_0002_997re4sl8f r7pi_20_0003_xfdqub7nb9 r7pi_20_0004_znebpqy3gk,n82 n119 n156 n193 n234,r7po_20_0000_ju1ws396a8 r7po_20_0001_jyu46s8kux r7po_20_0002_wtss5zg310 r7po_20_0003_xgl5m1qvdf r7po_20_0004_yczyo56pos,stress_data\r8_port_name_stress\cases\tc_public_27\input.blif
tc_public_28,51,16,67,n11 n17 n25 n33 n44,r7pi_21_0000_0s0778hof6 r7pi_21_0001_pknsrfg04e r7pi_21_0002_x4j6jch5s0 r7pi_21_0003_1ecw3zf36o r7pi_21_0004_2oim9f6c5m,n93 n141 n174 n207 n240,r7po_21_0000_dujjimk8bz r7po_21_0001_dld0ao6p0y r7po_21_0002_fyv9jwov6o r7po_21_0003_fsaci0f2e9 r7po_21_0004_kbwu69on7m,stress_data\r8_port_name_stress\cases\tc_public_28\input.blif
tc_public_29,30,16,46,n0 n1 n3 n4 n9,r7pi_22_0000_4so8rmr8ia r7pi_22_0001_p196hcdwqd r7pi_22_0002_80zi8vfeup r7pi_22_0003_k4on50g06m r7pi_22_0004_mfw86baa40,n31 n39 n47 n55 n63,r7po_22_0000_bwmx1c6i08 r7po_22_0001_887g75ypqd r7po_22_0002_engdt92l5r r7po_22_0003_5bty8ycge2 r7po_22_0004_5bu3bcr0uk,stress_data\r8_port_name_stress\cases\tc_public_29\input.blif
tc_public_3,10,8,18,I0 I1 I2 I3 I4,r7pi_23_0000_840qk4i6qy r7pi_23_0001_qh0h0pt6pg r7pi_23_0002_7qj7g416y0 r7pi_23_0003_nf31uam1k4 r7pi_23_0004_l2dlkyxw4v,O0 O1 O2 O3 O4,r7po_23_0000_deq8abpidi r7po_23_0001_lbflxjlxcb r7po_23_0002_m3eak9ar08 r7po_23_0003_xpgtzi5ksk r7po_23_0004_tz5s9e0tzi,stress_data\r8_port_name_stress\cases\tc_public_3\input.blif
tc_public_30,12,12,24,n9338 n9514 n9858 n9878 n10569,r7pi_24_0000_qp281w55w4 r7pi_24_0001_wqyebqdgdu r7pi_24_0002_tk5xy8q4rz r7pi_24_0003_xnku68u93d r7pi_24_0004_po56yuut0c,n1244 n2715 n3957 n5108 n6198,r7po_24_0000_041s7equqn r7po_24_0001_0s6w9pbxas r7po_24_0002_m045jjjr46 r7po_24_0003_geru4vevaz r7po_24_0004_1x4jqukxfa,stress_data\r8_port_name_stress\cases\tc_public_30\input.blif
