phase,usage_note,family,pipeline_id,pipeline_hash,selector_eligible,offline_only,normalized_steps,timeout_profile,timeout_profile_override,case,scale_grade,final_nodes,final_levels,final_total_time_sec,final_peak_rss_mb,raw_nodes,raw_levels,raw_cec_status,raw_status,selected_nodes,selected_levels,selected_status,fallback_used,fallback_reason,metric_regression,metric_regression_reasons,raw_node_delta_vs_final,raw_level_delta_vs_final,selected_node_delta_vs_final,selected_level_delta_vs_final,opt_time,cec_time,stats_time,total_time,peak_RSS,runtime_ratio_vs_final,rss_ratio_vs_final,opt_returncode,cec_returncode,output_path,candidate_path,log_dir,cache_key
full,FULL_SEARCH_PHASE5_NOT_FINAL_DECISION,aig_resyn_family,aig_resyn_resub_zero,60777e0c5b48,true,false,strash; balance; rewrite -z; resub -z; refactor -z; dc2; balance,default,,tc_public_28,small,520,7,0.260640,10.2890625,520,7,passed,ok,520,7,selected_raw,false,,false,,0,0,0,0,0.100106,0.082637,0.061622,0.244365,10.262,0.937556,0.997342,0,0,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_28\selected.blif,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_28\raw.candidate.blif,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_28\logs,fd34ebf5e2b02a7b9b67616d1fa0420f4e445f1d0f2539b98b85c3107502e2dc
full,FULL_SEARCH_PHASE5_NOT_FINAL_DECISION,aig_resyn_family,aig_resyn_resub_zero,60777e0c5b48,true,false,strash; balance; rewrite -z; resub -z; refactor -z; dc2; balance,default,,tc_public_29,small,109,7,0.275448,10.00390625,109,7,passed,ok,109,7,selected_raw,false,,false,,0,0,0,0,0.105197,0.061964,0.062487,0.229648,9.977,0.833725,0.997267,0,0,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_29\selected.blif,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_29\raw.candidate.blif,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_29\logs,d2a12e39f9313e71776e3322ea3aaf34ff04898a72d15216d5c9fe60f0034f47
full,FULL_SEARCH_PHASE5_NOT_FINAL_DECISION,aig_resyn_family,aig_resyn_resub_zero,60777e0c5b48,true,false,strash; balance; rewrite -z; resub -z; refactor -z; dc2; balance,default,,tc_public_3,tiny,109,8,0.299433,10.33203125,137,9,passed,metric_regression,109,8,fallback_current_final,true,metric_regression: nodes_worse:28,true,nodes_worse:28,28,1,0,0,0.081157,0.082770,0.047153,0.211080,10.344,0.704933,1.001134,0,0,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_3\selected.blif,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_3\raw.candidate.blif,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_3\logs,ccd2e8f3459dfedeb68340f61ce3c2d795cee7f08543b6b4509e3c7c8851bc82
full,FULL_SEARCH_PHASE5_NOT_FINAL_DECISION,aig_resyn_family,aig_resyn_resub_zero,60777e0c5b48,true,false,strash; balance; rewrite -z; resub -z; refactor -z; dc2; balance,default,,tc_public_30,large,6613,21,2.162263,31.3046875,6330,21,passed,ok,6330,21,selected_raw,false,,false,,-283,0,-283,0,0.543696,1.363335,0.061542,1.968573,31.355,0.910423,1.001622,0,0,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_30\selected.blif,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_30\raw.candidate.blif,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_30\logs,24a9f4d73a5a060f2c0103df52a2b913575d35755aff092e087bee4c68798960
full,FULL_SEARCH_PHASE5_NOT_FINAL_DECISION,aig_resyn_family,aig_resyn_resub_zero,60777e0c5b48,true,false,strash; balance; rewrite -z; resub -z; refactor -z; dc2; balance,default,,tc_public_4,tiny,69,8,0.331617,10.35546875,105,10,passed,metric_regression,69,8,fallback_current_final,true,metric_regression: nodes_worse:36,true,nodes_worse:36,36,2,0,0,0.082862,0.082999,0.062807,0.228668,10.332,0.689555,0.997737,0,0,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_4\selected.blif,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_4\raw.candidate.blif,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_4\logs,4ffffa61d8052e5a20c85c8478fb58389eb804c4b41af7ca34f5993f1b0d44fe
full,FULL_SEARCH_PHASE5_NOT_FINAL_DECISION,aig_resyn_family,aig_resyn_resub_zero,60777e0c5b48,true,false,strash; balance; rewrite -z; resub -z; refactor -z; dc2; balance,default,,tc_public_5,small,65,2,0.301763,10.39453125,65,2,passed,ok,65,2,selected_raw,false,,false,,0,0,0,0,0.083882,0.063708,0.065723,0.213313,10.391,0.706890,0.999624,0,0,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_5\selected.blif,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_5\raw.candidate.blif,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_5\logs,d0f3a24b1f1e6490a6f4f46493dfd06f9e4ad0958f7f1223215c8a1adad95eb2
full,FULL_SEARCH_PHASE5_NOT_FINAL_DECISION,aig_resyn_family,aig_resyn_resub_zero,60777e0c5b48,true,false,strash; balance; rewrite -z; resub -z; refactor -z; dc2; balance,default,,tc_public_6,small,162,4,0.311217,10.6171875,162,4,passed,ok,162,4,selected_raw,false,,false,,0,0,0,0,0.086609,0.101971,0.063164,0.251744,10.621,0.808901,1.000368,0,0,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_6\selected.blif,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_6\raw.candidate.blif,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_6\logs,d506f177143d0e8be5e6e4bc1bd94204ccabc4d3b5cbd2bbe979929fc0a693c1
full,FULL_SEARCH_PHASE5_NOT_FINAL_DECISION,aig_resyn_family,aig_resyn_resub_zero,60777e0c5b48,true,false,strash; balance; rewrite -z; resub -z; refactor -z; dc2; balance,default,,tc_public_7,small,252,3,0.270967,10.65234375,252,3,passed,ok,252,3,selected_raw,false,,false,,0,0,0,0,0.086303,0.084553,0.065081,0.235937,10.633,0.870724,0.998166,0,0,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_7\selected.blif,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_7\raw.candidate.blif,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_7\logs,f53227b6a4159c09e6fd4a3ceb9031bcfc4f92d7176ab12509aa45dd552960d8
full,FULL_SEARCH_PHASE5_NOT_FINAL_DECISION,aig_resyn_family,aig_resyn_resub_zero,60777e0c5b48,true,false,strash; balance; rewrite -z; resub -z; refactor -z; dc2; balance,default,,tc_public_8,small,193,3,0.307302,10.578125,192,4,passed,ok,192,4,selected_raw,false,,false,,-1,1,-1,1,0.082272,0.108081,0.076523,0.266876,10.059,0.868449,0.950886,0,0,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_8\selected.blif,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_8\raw.candidate.blif,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_8\logs,df599cf37683cd06ce9c60f79bd4f78f84b3ce05c96127eac8b9363ba0956494
full,FULL_SEARCH_PHASE5_NOT_FINAL_DECISION,aig_resyn_family,aig_resyn_resub_zero,60777e0c5b48,true,false,strash; balance; rewrite -z; resub -z; refactor -z; dc2; balance,default,,tc_public_9,tiny,224,5,0.284901,10.55859375,224,5,passed,ok,224,5,selected_raw,false,,false,,0,0,0,0,0.084012,0.083257,0.063450,0.230719,10.555,0.809821,0.999630,0,0,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_9\selected.blif,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_9\raw.candidate.blif,results\pipeline_search2\full\aig_resyn_resub_zero\tc_public_9\logs,519f44b25e3e7e3795af2feb9190bab31aa74aec4888895974a3ff101807488c
full,FULL_SEARCH_PHASE5_NOT_FINAL_DECISION,choice_perturb_family,choice_fraig_clean,555efd23e8a5,false,true,strash; fraig; balance; rewrite -z; refactor -z; dc2; balance,default,,tc_public_1,tiny,103,10,0.299524,10.1328125,120,8,passed,ok,120,8,selected_raw,false,,false,,17,-2,17,-2,0.083656,0.083379,0.061797,0.228832,10.340,0.763985,1.020432,0,0,results\pipeline_search2\full\choice_fraig_clean\tc_public_1\selected.blif,results\pipeline_search2\full\choice_fraig_clean\tc_public_1\raw.candidate.blif,results\pipeline_search2\full\choice_fraig_clean\tc_public_1\logs,f1d51c79abce11a3f89ae6616859269141f04f67129220d12b7295cc45a2c092
full,FULL_SEARCH_PHASE5_NOT_FINAL_DECISION,choice_perturb_family,choice_fraig_clean,555efd23e8a5,false,true,strash; fraig; balance; rewrite -z; refactor -z; dc2; balance,default,,tc_public_10,small,161,4,0.257631,10.39453125,161,4,passed,ok,161,4,selected_raw,false,,false,,0,0,0,0,0.082784,0.061333,0.061061,0.205178,10.477,0.796403,1.007892,0,0,results\pipeline_search2\full\choice_fraig_clean\tc_public_10\selected.blif,results\pipeline_search2\full\choice_fraig_clean\tc_public_10\raw.candidate.blif,results\pipeline_search2\full\choice_fraig_clean\tc_public_10\logs,bdb74d21e834b596fb1acedca6422d8d41d1fafca957533ba1792743b0cc275f
full,FULL_SEARCH_PHASE5_NOT_FINAL_DECISION,choice_perturb_family,choice_fraig_clean,555efd23e8a5,false,true,strash; fraig; balance; rewrite -z; refactor -z; dc2; balance,default,,tc_public_11,medium,328,7,0.286706,10.80859375,328,7,passed,ok,328,7,selected_raw,false,,false,,0,0,0,0,0.098971,0.098746,0.061166,0.258883,10.734,0.902957,0.993133,0,0,results\pipeline_search2\full\choice_fraig_clean\tc_public_11\selected.blif,results\pipeline_search2\full\choice_fraig_clean\tc_public_11\raw.candidate.blif,results\pipeline_search2\full\choice_fraig_clean\tc_public_11\logs,8c71d2c97a4b741aff88b49c19f6ec94210e4296b0ecfd92b8ecb40b7fafff03
