case,input_path,requested_pipeline,selected_pipeline,selector_reason,status,fallback_reason,output_path,candidate_path,baseline_path,candidate_nodes,candidate_levels,baseline_nodes,baseline_levels,selected_nodes,selected_levels,original_nodes,original_levels,opt_returncode,cec_returncode,cec_pass,opt_runtime_sec,cec_runtime_sec,stats_runtime_sec,peak_mem_mb,log_dir,chosen_variant,attempted_variants,inner_fallback_count,original_cec_fail_count
anon_021,data\tc_public_anon_r7b_stress\anon_021\input.blif,high_aig_three_round,high_aig_three_round@both,large_runtime_aig_high_effort,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_021\output.blif,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_021\work\variants\both\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_021\work\variants\both\baseline.blif,5532,20,5688,20,5532,20,5763,20,0,0,True,62.855667,17.135821,1.06664,28.105,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_021\work\logs,both,"clean,inputs,outputs,both",0,0
anon_022,data\tc_public_anon_r7b_stress\anon_022\input.blif,high_aig_three_round,high_aig_three_round@both,large_runtime_aig_high_effort,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_022\output.blif,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_022\work\variants\both\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_022\work\variants\both\baseline.blif,11001,20,11274,20,11001,20,11367,20,0,0,True,121.253678,33.372068,1.297566,35.066,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_022\work\logs,both,"clean,inputs,outputs,both",0,0
anon_023,data\tc_public_anon_r7b_stress\anon_023\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_023\output.blif,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_023\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_023\work\variants\clean\baseline.blif,1530,16,1530,16,1530,16,1530,263,0,0,True,1.29326,1.149221,1.025483,16.363,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_023\work\logs,clean,"clean,inputs,outputs,both",0,0
anon_024,data\tc_public_anon_r7b_stress\anon_024\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_024\output.blif,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_024\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_024\work\variants\clean\baseline.blif,215,8,215,8,215,8,223,15,0,0,True,0.885901,1.034734,1.004406,12.156,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_024\work\logs,clean,"clean,inputs,outputs,both",0,0
anon_025,data\tc_public_anon_r7b_stress\anon_025\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_025\output.blif,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_025\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_025\work\variants\clean\baseline.blif,26,4,26,4,26,4,101,14,0,0,True,0.87089,0.963469,1.100515,9.238,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_025\work\logs,clean,"clean,inputs,outputs,both",0,0
anon_026,data\tc_public_anon_r7b_stress\anon_026\input.blif,dc2_fast,dc2_fast@outputs,default,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_026\output.blif,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_026\work\variants\outputs\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_026\work\variants\outputs\baseline.blif,1046,10,1064,10,1046,10,1064,32,0,0,True,1.141616,1.506892,0.986166,17.938,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_026\work\logs,outputs,"clean,inputs,outputs,both",0,0
anon_027,data\tc_public_anon_r7b_stress\anon_027\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_027\output.blif,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_027\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_027\work\variants\clean\baseline.blif,376,7,376,7,376,7,576,20,0,0,True,1.022237,1.094022,0.930807,14.121,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_027\work\logs,clean,"clean,inputs,outputs,both",0,0
anon_028,data\tc_public_anon_r7b_stress\anon_028\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_028\output.blif,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_028\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_028\work\variants\clean\baseline.blif,520,7,520,7,520,7,576,20,0,0,True,1.004097,1.140875,0.971992,17.215,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_028\work\logs,clean,"clean,inputs,outputs,both",0,0
anon_029,data\tc_public_anon_r7b_stress\anon_029\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_029\output.blif,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_029\work\variants\clean\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_029\work\variants\clean\baseline.blif,109,7,110,7,109,7,121,8,0,0,True,0.838567,0.979842,0.931515,9.09,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_029\work\logs,clean,"clean,inputs,outputs,both",0,0
anon_030,data\tc_public_anon_r7b_stress\anon_030\input.blif,high_aig_three_round,high_aig_three_round@both,large_runtime_aig_high_effort,selected_candidate,,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_030\output.blif,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_030\work\variants\both\output.candidate.blif,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_030\work\variants\both\baseline.blif,4806,21,7476,22,4806,21,14139,1036,0,0,True,6.561811,31.765296,1.090192,34.613,results_candidate\r8_order_choosebest_singlecase_anon\public30\anon_030\work\logs,both,"clean,inputs,outputs,both",0,0
