case,input_path,requested_pipeline,selected_pipeline,selector_reason,status,fallback_reason,output_path,candidate_path,baseline_path,candidate_nodes,candidate_levels,baseline_nodes,baseline_levels,selected_nodes,selected_levels,original_nodes,original_levels,opt_returncode,cec_returncode,cec_pass,opt_runtime_sec,cec_runtime_sec,stats_runtime_sec,peak_mem_mb,log_dir,chosen_variant,attempted_variants,inner_fallback_count,original_cec_fail_count,entry_returncode,r28_gated_r27_gate,r28_gated_r27_status,r28_postpass,r28_postpass_accepted,r28_postpass_reject_reason,r28_postpass_opt_returncode,r28_postpass_cec_pass,r28_postpass_opt_error,r28_node_delta_vs_v5,r28_level_delta_vs_v5
tc_public_28,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_28\input.blif,r25_dsd_dch_cleanup,r25_dsd_dch_cleanup@clean,r25_dsd_small_small_pi_small_po_shared_dup,selected_candidate,,results_candidate\r28_release_mt_full_public\tc_public_28\output.blif,results_candidate\r28_release_mt_full_public\tc_public_28\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r28_release_mt_full_public\tc_public_28\work\v5\work\variants\clean\baseline.blif,258,8,520,7,258,8,576,20,0,0,True,0.425614,0.392395,0.38792,17.809,results_candidate\r28_release_mt_full_public\tc_public_28\work\v5\work\logs,clean,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0
tc_public_29,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_29\input.blif,r11_gia_deepsyn_tiny,r11_gia_deepsyn_tiny@inputs,r11_deepsyn_small_small_pi_small_po,selected_candidate,,results_candidate\r28_release_mt_full_public\tc_public_29\output.blif,results_candidate\r28_release_mt_full_public\tc_public_29\work\v5\work\variants\inputs\output.candidate.blif,results_candidate\r28_release_mt_full_public\tc_public_29\work\v5\work\variants\inputs\baseline.blif,97,6,119,6,97,6,121,8,0,0,True,1.678267,0.362985,0.382454,11.957,results_candidate\r28_release_mt_full_public\tc_public_29\work\v5\work\logs,inputs,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0
tc_public_3,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_3\input.blif,r11_gia_deepsyn_tiny,r11_gia_deepsyn_tiny@clean,r11_deepsyn_tiny_high_sop_small_po,selected_candidate,,results_candidate\r28_release_mt_full_public\tc_public_3\output.blif,results_candidate\r28_release_mt_full_public\tc_public_3\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r28_release_mt_full_public\tc_public_3\work\v5\work\variants\clean\baseline.blif,94,8,150,11,94,8,208,13,0,0,True,3.92679,0.801748,0.36921,13.383,results_candidate\r28_release_mt_full_public\tc_public_3\work\v5\work\logs,clean,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0
tc_public_30,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_30\input.blif,r25_dsd_dch_cleanup,r25_dsd_dch_cleanup@inputs+r28_r27_mfs_fraig_dc2_bal,r25_dsd_large_tiny_pi_small_po_shared,selected_candidate,,results_candidate\r28_release_mt_full_public\tc_public_30\output.blif,results_candidate\r28_release_mt_full_public\tc_public_30\work\v5\work\variants\inputs\output.candidate.blif,results_candidate\r28_release_mt_full_public\tc_public_30\work\v5\work\variants\inputs\baseline.blif,403,13,9443,22,392,12,14139,1036,0,0,True,1.050677,19.48646,0.4498,31.523,results_candidate\r28_release_mt_full_public\tc_public_30\work\logs,inputs,"clean,inputs,outputs,both",0,0,0,r25_dsd_inputs,accepted,r28_r27_mfs_fraig_dc2_bal,r28_r27_mfs_fraig_dc2_bal,,0,True,False,-11,-1
tc_public_4,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_4\input.blif,r11_gia_deepsyn_tiny,r11_gia_deepsyn_tiny@inputs,r11_deepsyn_tiny_high_sop_small_po,selected_candidate,,results_candidate\r28_release_mt_full_public\tc_public_4\output.blif,results_candidate\r28_release_mt_full_public\tc_public_4\work\v5\work\variants\inputs\output.candidate.blif,results_candidate\r28_release_mt_full_public\tc_public_4\work\v5\work\variants\inputs\baseline.blif,61,8,118,9,61,8,145,12,0,0,True,2.201753,0.79048,0.375846,12.309,results_candidate\r28_release_mt_full_public\tc_public_4\work\v5\work\logs,inputs,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0
tc_public_5,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_5\input.blif,dc2_fast,dc2_fast@clean,default,selected_candidate,,results_candidate\r28_release_mt_full_public\tc_public_5\output.blif,results_candidate\r28_release_mt_full_public\tc_public_5\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r28_release_mt_full_public\tc_public_5\work\v5\work\variants\clean\baseline.blif,65,2,66,2,65,2,128,2,0,0,True,0.386851,0.358249,0.375225,7.688,results_candidate\r28_release_mt_full_public\tc_public_5\work\v5\work\logs,clean,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0
tc_public_6,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_6\input.blif,sop_fx,sop_fx@clean,tiny_high_fanin_sop,selected_candidate,,results_candidate\r28_release_mt_full_public\tc_public_6\output.blif,results_candidate\r28_release_mt_full_public\tc_public_6\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r28_release_mt_full_public\tc_public_6\work\v5\work\variants\clean\baseline.blif,162,4,162,4,162,4,256,5,0,0,True,0.381881,0.776171,0.357709,7.906,results_candidate\r28_release_mt_full_public\tc_public_6\work\v5\work\logs,clean,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0
tc_public_7,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_7\input.blif,r11_gia_deepsyn_tiny,r11_gia_deepsyn_tiny@clean,r11_deepsyn_small_high_sop_low_two,selected_candidate,,results_candidate\r28_release_mt_full_public\tc_public_7\output.blif,results_candidate\r28_release_mt_full_public\tc_public_7\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r28_release_mt_full_public\tc_public_7\work\v5\work\variants\clean\baseline.blif,191,3,252,3,191,3,252,3,0,0,True,1.431633,0.784797,0.39458,12.105,results_candidate\r28_release_mt_full_public\tc_public_7\work\v5\work\logs,clean,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0
tc_public_8,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_8\input.blif,sop_fx,sop_fx@clean,tiny_high_fanin_sop,selected_candidate,,results_candidate\r28_release_mt_full_public\tc_public_8\output.blif,results_candidate\r28_release_mt_full_public\tc_public_8\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r28_release_mt_full_public\tc_public_8\work\v5\work\variants\clean\baseline.blif,193,3,193,3,193,3,193,3,0,0,True,0.385374,0.781372,0.362859,7.914,results_candidate\r28_release_mt_full_public\tc_public_8\work\v5\work\logs,clean,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0
tc_public_9,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_9\input.blif,r11_gia_deepsyn_tiny,r11_gia_deepsyn_tiny@clean,r11_deepsyn_tiny_high_sop_medium_po,selected_candidate,,results_candidate\r28_release_mt_full_public\tc_public_9\output.blif,results_candidate\r28_release_mt_full_public\tc_public_9\work\v5\work\variants\clean\output.candidate.blif,results_candidate\r28_release_mt_full_public\tc_public_9\work\v5\work\variants\clean\baseline.blif,194,4,224,5,194,4,224,5,0,0,True,1.82136,0.79001,0.390088,14.395,results_candidate\r28_release_mt_full_public\tc_public_9\work\v5\work\logs,clean,"clean,inputs,outputs,both",0,0,0,gate_not_matched,skipped,r28_r27_mfs_fraig_dc2_bal,,gate_not_matched,,,,0,0
