case,input_path,requested_pipeline,selected_pipeline,status,fallback_reason,output_path,candidate_path,baseline_path,candidate_nodes,candidate_levels,baseline_nodes,baseline_levels,selected_nodes,selected_levels,original_nodes,original_levels,opt_returncode,cec_returncode,cec_pass,opt_runtime_sec,cec_runtime_sec,stats_runtime_sec,peak_mem_mb,log_dir
tc_public_14,data\tc_public\tc_public_14\input.blif,aig_fast,baseline,fallback_baseline,candidate_metrics_worse_than_baseline,results\portfolio\aig_fast\tc_public_14\output.blif,results\portfolio\aig_fast\tc_public_14\output.candidate.blif,results\baseline\tc_public_14\output.blif,4646,24,4474,26,4474,26,6388,29,0,0,True,0.15981760004069656,0.16266410006210208,0.14976030006073415,18.71875,results\portfolio\aig_fast\tc_public_14\logs
tc_public_15,data\tc_public\tc_public_15\input.blif,aig_fast,aig_fast,selected_candidate,,results\portfolio\aig_fast\tc_public_15\output.blif,results\portfolio\aig_fast\tc_public_15\output.candidate.blif,results\baseline\tc_public_15\output.blif,928,10,928,10,928,10,931,12,0,0,True,0.09141449991147965,0.08530929998960346,0.1283613999839872,11.609375,results\portfolio\aig_fast\tc_public_15\logs
tc_public_16,data\tc_public\tc_public_16\input.blif,aig_fast,aig_fast,selected_candidate,,results\portfolio\aig_fast\tc_public_16\output.blif,results\portfolio\aig_fast\tc_public_16\output.candidate.blif,results\baseline\tc_public_16\output.blif,45,6,45,6,45,6,45,6,0,0,True,0.08602499996777624,0.06691100005991757,0.11437860003206879,9.99609375,results\portfolio\aig_fast\tc_public_16\logs
tc_public_17,data\tc_public\tc_public_17\input.blif,aig_fast,aig_fast,selected_candidate,,results\portfolio\aig_fast\tc_public_17\output.blif,results\portfolio\aig_fast\tc_public_17\output.candidate.blif,results\baseline\tc_public_17\output.blif,93,6,93,6,93,6,93,6,0,0,True,0.08697389997541904,0.06501120002940297,0.11156190000474453,10.01171875,results\portfolio\aig_fast\tc_public_17\logs
tc_public_18,data\tc_public\tc_public_18\input.blif,aig_fast,aig_fast,selected_candidate,,results\portfolio\aig_fast\tc_public_18\output.blif,results\portfolio\aig_fast\tc_public_18\output.candidate.blif,results\baseline\tc_public_18\output.blif,522,12,522,12,522,12,525,12,0,0,True,0.0834882000926882,0.12200449989177287,0.11223840003367513,12.3515625,results\portfolio\aig_fast\tc_public_18\logs
tc_public_19,data\tc_public\tc_public_19\input.blif,aig_fast,baseline,fallback_baseline,candidate_metrics_worse_than_baseline,results\portfolio\aig_fast\tc_public_19\output.blif,results\portfolio\aig_fast\tc_public_19\output.candidate.blif,results\baseline\tc_public_19\output.blif,5406,18,5403,18,5403,18,5478,18,0,0,True,0.20159539999440312,0.4113393999869004,0.17130120005458593,22.4921875,results\portfolio\aig_fast\tc_public_19\logs
tc_public_2,data\tc_public\tc_public_2\input.blif,aig_fast,baseline,fallback_baseline,candidate_metrics_worse_than_baseline,results\portfolio\aig_fast\tc_public_2\output.blif,results\portfolio\aig_fast\tc_public_2\output.candidate.blif,results\baseline\tc_public_2\output.blif,21,4,19,4,19,4,34,6,0,0,True,0.08374029991682619,0.0841190000064671,0.12616410001646727,10.30078125,results\portfolio\aig_fast\tc_public_2\logs
tc_public_20,data\tc_public\tc_public_20\input.blif,aig_fast,baseline,fallback_baseline,candidate_metrics_worse_than_baseline,results\portfolio\aig_fast\tc_public_20\output.blif,results\portfolio\aig_fast\tc_public_20\output.candidate.blif,results\baseline\tc_public_20\output.blif,5667,20,5664,20,5664,20,5742,20,0,0,True,0.23548390006180853,0.4195684000151232,0.14881129993591458,21.63671875,results\portfolio\aig_fast\tc_public_20\logs
tc_public_21,data\tc_public\tc_public_21\input.blif,aig_fast,baseline,fallback_baseline,candidate_metrics_worse_than_baseline,results\portfolio\aig_fast\tc_public_21\output.blif,results\portfolio\aig_fast\tc_public_21\output.candidate.blif,results\baseline\tc_public_21\output.blif,5688,20,5685,20,5685,20,5763,20,0,0,True,0.21928009996190667,0.40541440004017204,0.167310000048019,22.8125,results\portfolio\aig_fast\tc_public_21\logs
tc_public_22,data\tc_public\tc_public_22\input.blif,aig_fast,baseline,fallback_baseline,candidate_metrics_worse_than_baseline,results\portfolio\aig_fast\tc_public_22\output.blif,results\portfolio\aig_fast\tc_public_22\output.candidate.blif,results\baseline\tc_public_22\output.blif,11283,20,11265,20,11265,20,11367,20,0,0,True,0.37880019994918257,0.7401657999726012,0.17290890007279813,30.171875,results\portfolio\aig_fast\tc_public_22\logs
