case,candidate,steps,selector_reason,selected_pipeline,chosen_variant,baseline_nodes,baseline_levels,nodes_after,levels_after,node_delta,level_delta,status,cec_pass,opt_returncode,opt_timed_out,opt_error,cec_returncode,runtime_opt_sec,runtime_cec_sec,runtime_stats_sec,peak_mem_mb,input_path,baseline_path,output_path,log_dir
tc_public_15,r29_mfs_fraig_bal,mfs; fraig; balance,r7b_high_overlap_guarded_fraig,r7b_r7win_fraig_high@clean+r28_r27_mfs_fraig_dc2_bal,clean,913,11,913,11,0,0,no_node_gain,True,0,False,False,0,0.656537,0.071315,0.052515,11.645,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_15\input.blif,submit\results\final_public\tc_public_15\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_mfs_fraig_bal\tc_public_15\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_mfs_fraig_bal\tc_public_15
tc_public_15,r29_mfs_fraig_dc2_bal,mfs; fraig; dc2; balance,r7b_high_overlap_guarded_fraig,r7b_r7win_fraig_high@clean+r28_r27_mfs_fraig_dc2_bal,clean,913,11,904,11,-9,0,accepted,True,0,False,False,0,0.655828,0.070718,0.037425,10.293,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_15\input.blif,submit\results\final_public\tc_public_15\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_mfs_fraig_dc2_bal\tc_public_15\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_mfs_fraig_dc2_bal\tc_public_15
tc_public_15,r29_fraig_mfs_dc2_bal,fraig; mfs; dc2; balance,r7b_high_overlap_guarded_fraig,r7b_r7win_fraig_high@clean+r28_r27_mfs_fraig_dc2_bal,clean,913,11,0,0,,,opt_failed,False,0,False,True,,0.036151,0.0,0.0,1.887,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_15\input.blif,submit\results\final_public\tc_public_15\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_fraig_mfs_dc2_bal\tc_public_15\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_fraig_mfs_dc2_bal\tc_public_15
tc_public_15,r29_mfs_fraig_dc2_rwz_bal,mfs; fraig; dc2; rewrite -z; balance,r7b_high_overlap_guarded_fraig,r7b_r7win_fraig_high@clean+r28_r27_mfs_fraig_dc2_bal,clean,913,11,904,11,-9,0,accepted,True,0,False,False,0,0.7095,0.068417,0.036951,9.699,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_15\input.blif,submit\results\final_public\tc_public_15\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_mfs_fraig_dc2_rwz_bal\tc_public_15\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_mfs_fraig_dc2_rwz_bal\tc_public_15
tc_public_26,r29_fraig_dc2_bal,fraig; dc2; balance,r25_dsd_medium_small_pi_medium_po_shared,r25_dsd_dch_cleanup@inputs+r28_r27_mfs_fraig_dc2_bal,inputs,449,10,449,10,0,0,no_node_gain,True,0,False,False,0,0.05077,0.0834,0.038696,11.734,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_26\input.blif,submit\results\final_public\tc_public_26\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_fraig_dc2_bal\tc_public_26\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_fraig_dc2_bal\tc_public_26
tc_public_26,r29_mfs_dc2_bal,mfs; dc2; balance,r25_dsd_medium_small_pi_medium_po_shared,r25_dsd_dch_cleanup@inputs+r28_r27_mfs_fraig_dc2_bal,inputs,449,10,0,0,,,opt_failed,False,0,False,True,,0.329763,0.0,0.0,9.176,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_26\input.blif,submit\results\final_public\tc_public_26\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_mfs_dc2_bal\tc_public_26\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_mfs_dc2_bal\tc_public_26
tc_public_26,r29_mfs_strash_dc2_bal,mfs; strash; dc2; balance,r25_dsd_medium_small_pi_medium_po_shared,r25_dsd_dch_cleanup@inputs+r28_r27_mfs_fraig_dc2_bal,inputs,449,10,449,10,0,0,no_node_gain,True,0,False,False,0,0.344616,0.072463,0.040258,9.395,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_26\input.blif,submit\results\final_public\tc_public_26\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_mfs_strash_dc2_bal\tc_public_26\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_mfs_strash_dc2_bal\tc_public_26
tc_public_26,r29_mfs_strash_dc2_rwz_bal,mfs; strash; dc2; rewrite -z; balance,r25_dsd_medium_small_pi_medium_po_shared,r25_dsd_dch_cleanup@inputs+r28_r27_mfs_fraig_dc2_bal,inputs,449,10,449,10,0,0,no_node_gain,True,0,False,False,0,0.396917,0.074253,0.038695,10.246,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_26\input.blif,submit\results\final_public\tc_public_26\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_mfs_strash_dc2_rwz_bal\tc_public_26\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_mfs_strash_dc2_rwz_bal\tc_public_26
tc_public_26,r29_mfs_fraig_bal,mfs; fraig; balance,r25_dsd_medium_small_pi_medium_po_shared,r25_dsd_dch_cleanup@inputs+r28_r27_mfs_fraig_dc2_bal,inputs,449,10,449,10,0,0,no_node_gain,True,0,False,False,0,0.322813,0.072745,0.039457,9.883,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_26\input.blif,submit\results\final_public\tc_public_26\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_mfs_fraig_bal\tc_public_26\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_mfs_fraig_bal\tc_public_26
tc_public_26,r29_mfs_fraig_dc2_bal,mfs; fraig; dc2; balance,r25_dsd_medium_small_pi_medium_po_shared,r25_dsd_dch_cleanup@inputs+r28_r27_mfs_fraig_dc2_bal,inputs,449,10,449,10,0,0,no_node_gain,True,0,False,False,0,0.32059,0.054685,0.039665,9.148,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_26\input.blif,submit\results\final_public\tc_public_26\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_mfs_fraig_dc2_bal\tc_public_26\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_mfs_fraig_dc2_bal\tc_public_26
