case,candidate,steps,selector_reason,selected_pipeline,chosen_variant,baseline_nodes,baseline_levels,nodes_after,levels_after,node_delta,level_delta,status,cec_pass,opt_returncode,opt_timed_out,opt_error,cec_returncode,runtime_opt_sec,runtime_cec_sec,runtime_stats_sec,peak_mem_mb,input_path,baseline_path,output_path,log_dir
tc_public_14,r29_fraig_dc2_bal,fraig; dc2; balance,r7b_high_overlap_guarded_fraig,r7b_r7win_fraig_high@outputs+r28_r27_mfs_fraig_dc2_bal,outputs,2073,15,2054,14,-19,-1,accepted,True,0,False,False,0,0.107223,0.117364,0.039364,15.648,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_14\input.blif,submit\results\final_public\tc_public_14\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_fraig_dc2_bal\tc_public_14\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_fraig_dc2_bal\tc_public_14
tc_public_14,r29_mfs_fraig_dc2_bal,mfs; fraig; dc2; balance,r7b_high_overlap_guarded_fraig,r7b_r7win_fraig_high@outputs+r28_r27_mfs_fraig_dc2_bal,outputs,2073,15,2044,14,-29,-1,accepted,True,0,False,False,0,1.790776,0.101786,0.047058,15.531,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_14\input.blif,submit\results\final_public\tc_public_14\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_mfs_fraig_dc2_bal\tc_public_14\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_mfs_fraig_dc2_bal\tc_public_14
tc_public_14,r29_mfs_fraig_dc2_rwz_bal,mfs; fraig; dc2; rewrite -z; balance,r7b_high_overlap_guarded_fraig,r7b_r7win_fraig_high@outputs+r28_r27_mfs_fraig_dc2_bal,outputs,2073,15,2044,14,-29,-1,accepted,True,0,False,False,0,1.786687,0.103796,0.04792,15.363,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_14\input.blif,submit\results\final_public\tc_public_14\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_mfs_fraig_dc2_rwz_bal\tc_public_14\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_mfs_fraig_dc2_rwz_bal\tc_public_14
tc_public_14,r29_mfs_strash_dc2_rwz_bal,mfs; strash; dc2; rewrite -z; balance,r7b_high_overlap_guarded_fraig,r7b_r7win_fraig_high@outputs+r28_r27_mfs_fraig_dc2_bal,outputs,2073,15,2044,14,-29,-1,accepted,True,0,False,False,0,1.876288,0.103731,0.038496,15.613,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_14\input.blif,submit\results\final_public\tc_public_14\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_mfs_strash_dc2_rwz_bal\tc_public_14\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_mfs_strash_dc2_rwz_bal\tc_public_14
tc_public_15,r29_fraig_dc2_bal,fraig; dc2; balance,r7b_high_overlap_guarded_fraig,r7b_r7win_fraig_high@clean+r28_r27_mfs_fraig_dc2_bal,clean,913,11,904,11,-9,0,accepted,True,0,False,False,0,0.072056,0.071577,0.039333,10.211,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_15\input.blif,submit\results\final_public\tc_public_15\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_fraig_dc2_bal\tc_public_15\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_fraig_dc2_bal\tc_public_15
tc_public_15,r29_mfs_fraig_dc2_bal,mfs; fraig; dc2; balance,r7b_high_overlap_guarded_fraig,r7b_r7win_fraig_high@clean+r28_r27_mfs_fraig_dc2_bal,clean,913,11,904,11,-9,0,accepted,True,0,False,False,0,0.665154,0.072475,0.038452,11.844,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_15\input.blif,submit\results\final_public\tc_public_15\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_mfs_fraig_dc2_bal\tc_public_15\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_mfs_fraig_dc2_bal\tc_public_15
tc_public_15,r29_mfs_fraig_dc2_rwz_bal,mfs; fraig; dc2; rewrite -z; balance,r7b_high_overlap_guarded_fraig,r7b_r7win_fraig_high@clean+r28_r27_mfs_fraig_dc2_bal,clean,913,11,904,11,-9,0,accepted,True,0,False,False,0,0.739622,0.073637,0.050735,11.871,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_15\input.blif,submit\results\final_public\tc_public_15\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_mfs_fraig_dc2_rwz_bal\tc_public_15\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_mfs_fraig_dc2_rwz_bal\tc_public_15
tc_public_15,r29_mfs_strash_dc2_rwz_bal,mfs; strash; dc2; rewrite -z; balance,r7b_high_overlap_guarded_fraig,r7b_r7win_fraig_high@clean+r28_r27_mfs_fraig_dc2_bal,clean,913,11,904,11,-9,0,accepted,True,0,False,False,0,0.712442,0.074687,0.037331,12.02,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_15\input.blif,submit\results\final_public\tc_public_15\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_mfs_strash_dc2_rwz_bal\tc_public_15\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_mfs_strash_dc2_rwz_bal\tc_public_15
tc_public_16,r29_fraig_dc2_bal,fraig; dc2; balance,default,dc2_fast@clean,clean,45,6,45,6,0,0,no_node_gain,True,0,False,False,0,0.047382,0.036416,0.037574,1.91,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_16\input.blif,submit\results\final_public\tc_public_16\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_fraig_dc2_bal\tc_public_16\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_fraig_dc2_bal\tc_public_16
tc_public_16,r29_mfs_fraig_dc2_bal,mfs; fraig; dc2; balance,default,dc2_fast@clean,clean,45,6,45,6,0,0,no_node_gain,True,0,False,False,0,0.069983,0.042068,0.04715,8.539,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_16\input.blif,submit\results\final_public\tc_public_16\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_mfs_fraig_dc2_bal\tc_public_16\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_mfs_fraig_dc2_bal\tc_public_16
tc_public_16,r29_mfs_fraig_dc2_rwz_bal,mfs; fraig; dc2; rewrite -z; balance,default,dc2_fast@clean,clean,45,6,45,6,0,0,no_node_gain,True,0,False,False,0,0.109923,0.046263,0.036833,8.219,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_16\input.blif,submit\results\final_public\tc_public_16\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_mfs_fraig_dc2_rwz_bal\tc_public_16\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_mfs_fraig_dc2_rwz_bal\tc_public_16
tc_public_16,r29_mfs_strash_dc2_rwz_bal,mfs; strash; dc2; rewrite -z; balance,default,dc2_fast@clean,clean,45,6,45,6,0,0,no_node_gain,True,0,False,False,0,0.110325,0.036301,0.037449,8.289,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_16\input.blif,submit\results\final_public\tc_public_16\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_mfs_strash_dc2_rwz_bal\tc_public_16\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_mfs_strash_dc2_rwz_bal\tc_public_16
tc_public_17,r29_fraig_dc2_bal,fraig; dc2; balance,default,dc2_fast@clean,clean,93,6,93,6,0,0,no_node_gain,True,0,False,False,0,0.050155,0.047425,0.035503,1.895,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_17\input.blif,submit\results\final_public\tc_public_17\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_fraig_dc2_bal\tc_public_17\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_fraig_dc2_bal\tc_public_17
tc_public_17,r29_mfs_fraig_dc2_bal,mfs; fraig; dc2; balance,default,dc2_fast@clean,clean,93,6,93,6,0,0,no_node_gain,True,0,False,False,0,0.078151,0.046392,0.035991,6.996,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_17\input.blif,submit\results\final_public\tc_public_17\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_mfs_fraig_dc2_bal\tc_public_17\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_mfs_fraig_dc2_bal\tc_public_17
tc_public_17,r29_mfs_fraig_dc2_rwz_bal,mfs; fraig; dc2; rewrite -z; balance,default,dc2_fast@clean,clean,93,6,93,6,0,0,no_node_gain,True,0,False,False,0,0.13514,0.049416,0.039084,8.562,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_17\input.blif,submit\results\final_public\tc_public_17\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_mfs_fraig_dc2_rwz_bal\tc_public_17\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_mfs_fraig_dc2_rwz_bal\tc_public_17
tc_public_17,r29_mfs_strash_dc2_rwz_bal,mfs; strash; dc2; rewrite -z; balance,default,dc2_fast@clean,clean,93,6,93,6,0,0,no_node_gain,True,0,False,False,0,0.135376,0.047294,0.035271,7.836,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_17\input.blif,submit\results\final_public\tc_public_17\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_mfs_strash_dc2_rwz_bal\tc_public_17\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_mfs_strash_dc2_rwz_bal\tc_public_17
tc_public_18,r29_fraig_dc2_bal,fraig; dc2; balance,medium_runtime_fraig_cleanup,r10_medium_fraig_cleanup@both,both,486,12,483,12,-3,0,accepted,True,0,False,False,0,0.131288,0.13879,0.036076,11.023,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_18\input.blif,submit\results\final_public\tc_public_18\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_fraig_dc2_bal\tc_public_18\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_fraig_dc2_bal\tc_public_18
tc_public_18,r29_mfs_fraig_dc2_bal,mfs; fraig; dc2; balance,medium_runtime_fraig_cleanup,r10_medium_fraig_cleanup@both,both,486,12,483,12,-3,0,accepted,True,0,False,False,0,0.36832,0.161174,0.036928,13.324,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_18\input.blif,submit\results\final_public\tc_public_18\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_mfs_fraig_dc2_bal\tc_public_18\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_mfs_fraig_dc2_bal\tc_public_18
tc_public_18,r29_mfs_fraig_dc2_rwz_bal,mfs; fraig; dc2; rewrite -z; balance,medium_runtime_fraig_cleanup,r10_medium_fraig_cleanup@both,both,486,12,483,12,-3,0,accepted,True,0,False,False,0,0.419411,0.131306,0.035335,9.578,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_18\input.blif,submit\results\final_public\tc_public_18\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_mfs_fraig_dc2_rwz_bal\tc_public_18\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_mfs_fraig_dc2_rwz_bal\tc_public_18
tc_public_18,r29_mfs_strash_dc2_rwz_bal,mfs; strash; dc2; rewrite -z; balance,medium_runtime_fraig_cleanup,r10_medium_fraig_cleanup@both,both,486,12,483,12,-3,0,accepted,True,0,False,False,0,0.424149,0.161836,0.037933,11.055,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_18\input.blif,submit\results\final_public\tc_public_18\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_mfs_strash_dc2_rwz_bal\tc_public_18\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_mfs_strash_dc2_rwz_bal\tc_public_18
tc_public_19,r29_fraig_dc2_bal,fraig; dc2; balance,large_smallpo_fraig_cleanup,r9_dc2_fraig_cleanup@inputs,inputs,5184,18,5160,18,-24,0,accepted,True,0,False,False,0,1.137701,0.618306,0.051526,20.879,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_19\input.blif,submit\results\final_public\tc_public_19\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_fraig_dc2_bal\tc_public_19\output.blif,results_research\R29_postpass_matrix_v6\full30\runs\r29_fraig_dc2_bal\tc_public_19
